nama,harga,kategori
Pond's Facial Foam All Variant 100g Sabun Cuci Muka Pond's,26200,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
ALPHA RULES FACE UP 100 ML SABUN CUCI MUKA PRIA ORIGINAL DAPAT BONUS,125000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
Facial Wash Scarlett Whitening 100ml Sabun Cuci Muka Pemutih Pencerah Dan Pembersih Wajah,73500,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Olay Set Serum 50ml & Olay Day & Night Cream & Sabun Cuci Muka 100gr,300000,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
BPOM YOU Hy! Amino Anti Acne Facial Wash Sabun Cuci Muka Acnes Facial Wash Bekas Jerawat Sabun Wajah Jerawat,30400,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Paket Sabun Cuci Muka Obat Oles Jerawat Wajah Ampuh YOU Facial Wash Bonus Acne Plus Spot Care,86000,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Garnier Sabun Cuci Muka 100 ml Cewek Wanita Sakura Glow Face Wash Pink Bright Complete jenis kulit Kuning,26400,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Olay Total Effects 7in1 Sabun Cuci Muka 100Ml,42000,"{'id': 2272, 'name': 'Masker Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Masker Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita'}"
BPOM Pigeon Teens Facial Foam For All Skin Types / Sabun Cuci Muka Remaja / Pembersih Wajah Facial Wash Cleanser 40ml 100ml,9900,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Clean & Clear Foaming Face Wash - Clean&Clear Foaming Face Wash sabun cuci muka,15900,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
